기간	자치구	비만(BMI≥25)	저체중(BMI<18.5)	정상(18.5≤BMI＜25)	체질량지수(BMI)(평균)
2015	종로구	25	6.5	68.5	23.2
2015	중구	23.6	5	71.4	23.1
2015	용산구	24.7	5.6	69.7	23.1
2015	성동구	24.1	5.3	70.6	23
2015	광진구	24.5	5.3	70.2	23.1
2015	동대문구	25.4	5.3	69.3	23.1
2015	중랑구	25.8	4.7	69.5	23.2
2015	성북구	25.4	5.2	69.4	23
2015	강북구	29.5	4.6	65.8	23.4
2015	도봉구	25.9	4.5	69.6	23.2
2015	노원구	24.2	6.8	69	22.9
2015	은평구	24.4	4.5	71.1	23.1
2015	서대문구	23.5	5.7	70.8	23.1
2015	마포구	25.3	5.8	69	22.9
2015	양천구	23.1	6.1	70.8	22.9
2015	강서구	24.6	7.1	68.2	23
2015	구로구	25.6	4.3	70.1	23.2
2015	금천구	30.5	4	65.5	23.4
2015	영등포구	26.6	5.2	68.2	23.1
2015	동작구	25.7	4.9	69.4	23.2
2015	관악구	24.7	6.2	69.2	23
2015	서초구	22.4	7.3	70.3	22.8
2015	강남구	22.6	7.7	69.7	22.7
2015	송파구	22.7	7.4	69.9	22.9
2015	강동구	24	5.7	70.3	23
2016	종로구	26	5.1	68.8	23.2
2016	중구	25.7	6.4	67.9	23.3
2016	용산구	24	7.7	68.3	23
2016	성동구	26.1	6.7	67.2	23.1
2016	광진구	26.1	5.6	68.3	23.1
2016	동대문구	28	5.3	66.7	23.3
2016	중랑구	28.3	5.3	66.4	23.4
2016	성북구	28.6	5.8	65.6	23.3
2016	강북구	29.3	5.7	65	23.6
2016	도봉구	27.8	5.7	66.5	23.4
2016	노원구	26.9	5.3	67.9	23.2
2016	은평구	26.8	6	67.2	23.3
2016	서대문구	23.6	4.9	71.5	23
2016	마포구	23	5.3	71.7	22.9
2016	양천구	26.2	5.2	68.7	23.1
2016	강서구	26.8	4.6	68.6	23.3
2016	구로구	29.5	4.6	66	23.6
2016	금천구	27.2	4	68.8	23.3
2016	영등포구	24.6	4.7	70.7	23.1
2016	동작구	21.7	5	73.3	22.8
2016	관악구	25.8	3.8	70.4	23.2
2016	서초구	21.5	6.6	71.9	22.7
2016	강남구	20.3	8.9	70.8	22.6
2016	송파구	21.4	6.6	72	22.8
2016	강동구	30.9	6	63.1	23.6
2017	종로구	25.8	6.1	68	23.3
2017	중구	24.5	6.4	69.1	23.2
2017	용산구	25.8	5.9	68.3	23.1
2017	성동구	26.9	4	69.1	23.3
2017	광진구	24.7	7	68.3	23.1
2017	동대문구	27.3	5.3	67.4	23.4
2017	중랑구	30.3	3.8	65.9	23.6
2017	성북구	23.4	5	71.6	23
2017	강북구	29.6	3.9	66.5	23.5
2017	도봉구	28.5	4.3	67.2	23.3
2017	노원구	27.4	4.6	68	24.2
2017	은평구	27.7	6.3	65.9	23.2
2017	서대문구	27	6	67.1	23.2
2017	마포구	22.1	6.5	71.4	22.9
2017	양천구	26	5.7	68.3	23.2
2017	강서구	25.2	6	68.7	23.1
2017	구로구	27.7	3.5	68.8	23.4
2017	금천구	28.4	5	66.6	23.5
2017	영등포구	27.3	6.3	66.5	23.2
2017	동작구	25.2	6.1	68.7	23.1
2017	관악구	25.5	5.8	68.8	23.2
2017	서초구	24.1	7.4	68.6	23
2017	강남구	22.4	7.2	70.4	22.7
2017	송파구	21.6	6.9	71.5	22.8
2017	강동구	24.2	4.4	71.4	23.2
2018	종로구	34.5	5.7	59.8	23.8
2018	중구	31.6	8.8	59.6	23.2
2018	용산구	30.2	1.1	68.7	23.8
2018	성동구	32.8	4.3	63	23.7
2018	광진구	30.5	6.2	63.3	23.5
2018	동대문구	26.4	4	69.5	23.5
2018	중랑구	38.8	5.6	55.7	24.1
2018	성북구	39	4.2	56.8	24.2
2018	강북구	31.3	6.2	62.6	23.7
2018	도봉구	33.5	5.7	60.8	23.8
2018	노원구	33.5	5.7	60.7	23.7
2018	은평구	34.9	5.9	59.2	23.9
2018	서대문구	30	8.1	61.9	23.2
2018	마포구	29.3	6.5	64.2	23.5
2018	양천구	31	3.4	65.6	23.8
2018	강서구	34.1	4.8	61.1	23.7
2018	구로구	35.3	3.2	61.4	24
2018	금천구	30.8	6	63.1	23.6
2018	영등포구	34.5	3.7	61.8	24
2018	동작구	32.7	3.9	63.4	23.6
2018	관악구	25.1	6.8	68.1	23.3
2018	서초구	23.9	6.9	69.2	23.1
2018	강남구	27.6	5.6	66.8	23.3
2018	송파구	22	7.8	70.2	22.7
2018	강동구	32.7	3.8	63.5	23.8
2019	종로구	34.2	5.3	60.5	23.8
2019	중구	29.1	5.3	65.5	23.4
2019	용산구	26.5	3.8	69.7	23.5
2019	성동구	32.4	6.7	60.8	23.6
2019	광진구	28.9	6.5	64.6	23.4
2019	동대문구	36.1	2.7	61.2	24
2019	중랑구	36.2	3.7	60	24.1
2019	성북구	32.6	4.8	62.6	23.7
2019	강북구	30.3	5.7	64	23.6
2019	도봉구	36.6	4.8	58.6	24.2
2019	노원구	34.7	4.8	60.5	24
2019	은평구	33	3	64	23.9
2019	서대문구	31.6	7.2	61.2	23.6
2019	마포구	29	5.5	65.5	23.5
2019	양천구	34.2	5.1	60.7	23.8
2019	강서구	30.7	5.4	64	23.6
2019	구로구	33	3.5	63.5	23.9
2019	금천구	35.2	4.3	60.5	23.9
2019	영등포구	34.3	4.9	60.8	23.8
2019	동작구	30	6	63.9	23.4
2019	관악구	35.1	5.6	59.3	23.7
2019	서초구	25.1	8.3	66.6	22.9
2019	강남구	28.6	6.4	65	23.3
2019	송파구	27.9	4.6	67.6	23.4
2019	강동구	31.3	5.5	63.2	23.7
